Iterations,boostFactor,costPerPayRequest,executionTime,feePerByte,numFallbackSolns,numKnapsackSolns,numLeverageSolns,numPayRequestsPerTX,numPayRequestsProcessed,numUTXOsUsed,oneBTC,totalCost
5,0.94,0.23980783999999086,46.01227617263794,22,3,0,2,2,14,5,8582,3.3573097599998722
5,0.94,0.23851221428571057,44.234029054641724,22,2,1,2,2,14,5,8582,3.339170999999948
5,0.94,0.23954261428571139,57.311988830566406,22,3,0,2,2,14,5,8582,3.3535965999999595
5,0.94,0.24005150571428263,45.82777762413025,22,3,0,2,2,14,5,8582,3.3607210799999567
5,0.94,0.23887860285714063,51.464903593063354,22,3,0,2,2,14,5,8582,3.344300439999969
5,0.94,0.23832290499998657,37.547542333602905,22,1,1,3,2,16,5,8582,3.813166479999785
5,0.94,0.23466687099999564,37.39835238456726,22,0,0,5,2,20,5,8582,4.693337419999913
5,0.94,0.24544519999999997,73.61784482002258,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.24288288142856476,31.390923976898193,22,3,0,2,2,14,5,8582,3.4003603399999065
5,0.94,0.24182126428571188,42.16133499145508,22,3,0,2,2,14,5,8582,3.3854976999999664
5,0.78,0.6303017328571371,27.811717748641968,60,1,2,2,2,14,5,8582,8.82422425999992
5,0.78,0.6521606514285686,34.68008613586426,60,2,1,2,2,14,5,8582,9.130249119999961
5,0.78,0.6543496600000025,40.778132915496826,60,2,0,3,2,16,5,8582,10.46959456000004
5,0.78,0.6577896516666656,25.45202898979187,60,2,2,1,2,12,5,8582,7.893475819999987
5,0.78,0.6486492355555532,34.659127712249756,60,1,0,4,2,18,5,8582,11.675686239999958
5,0.78,0.6303230487499979,11.26448392868042,60,0,2,3,2,16,5,8582,10.085168779999966
5,0.78,0.6376425824999955,31.91674304008484,60,1,1,3,2,16,5,8582,10.202281319999928
5,0.78,0.6386353312499982,35.68443727493286,60,1,1,3,2,16,5,8582,10.21816529999997
5,0.78,0.6302808711111081,14.753040552139282,60,0,1,4,2,18,5,8582,11.345055679999946
5,0.78,0.6419545279999974,25.950097799301147,60,0,0,5,2,20,5,8582,12.83909055999995
5,0.54,2.124797300999992,29.852665424346924,200,0,0,5,2,20,5,8582,42.49594601999984
5,0.54,2.0976423733333305,29.937026739120483,200,0,1,4,2,18,5,8582,37.757562719999946
5,0.54,2.083578061428568,18.343851327896118,200,0,3,2,2,14,5,8582,29.170092859999954
5,0.54,2.0718334099999924,2.756946086883545,200,0,5,0,2,10,5,8582,20.718334099999925
5,0.54,2.1183227533333264,15.8192720413208,200,0,1,4,2,18,5,8582,38.12980955999988
5,0.54,2.1101558337499977,8.770527124404907,200,0,2,3,2,16,5,8582,33.76249333999996
5,0.54,2.1131046549999946,15.501489877700806,200,0,2,3,2,16,5,8582,33.80967447999991
5,0.54,2.117062492222221,20.366087675094604,200,0,1,4,2,18,5,8582,38.10712485999998
5,0.54,2.1129107571428523,9.742585182189941,200,0,3,2,2,14,5,8582,29.58075059999993
5,0.54,2.1061313874999925,16.887993097305298,200,0,2,3,2,16,5,8582,33.69810219999988
5,0.52,4.176067653749991,9.268058776855469,400,0,2,3,2,16,5,8582,66.81708245999985
5,0.52,4.194346251428572,15.51889944076538,400,0,3,2,2,14,5,8582,58.72084752
5,0.52,4.078194983333334,7.756378412246704,400,0,4,1,2,12,5,8582,48.9383398
5,0.52,4.169673399999997,10.20884084701538,400,0,2,3,2,16,5,8582,66.71477439999995
5,0.52,4.202482862222218,18.084596395492554,400,0,1,4,2,18,5,8582,75.64469151999992
5,0.52,4.279699521428566,18.52801251411438,400,1,2,2,2,14,5,8582,59.915793299999926
5,0.52,4.146161861249993,12.106987476348877,400,0,2,3,2,16,5,8582,66.3385897799999
5,0.52,4.179093570000002,10.770163536071777,400,0,3,2,2,14,5,8582,58.50730998000003
5,0.52,4.227777839999995,10.826442241668701,400,0,2,3,2,16,5,8582,67.64444543999991
5,0.52,4.028947157999996,2.7237722873687744,400,0,5,0,2,10,5,8582,40.289471579999955
5,0.21999999999999997,9.440522442499997,38.59102725982666,900,1,1,3,2,16,5,8582,151.04835907999995
5,0.21999999999999997,9.316146994000006,3.193028688430786,900,0,5,0,2,10,5,8582,93.16146994000006
5,0.21999999999999997,9.143826720000002,9.694566488265991,900,0,4,1,2,12,5,8582,109.72592064000001
5,0.21999999999999997,9.51158958125,24.144750833511353,900,0,2,3,2,16,5,8582,152.1854333
5,0.21999999999999997,9.134103093333325,4.370421409606934,900,0,4,1,2,12,5,8582,109.6092371199999
5,0.21999999999999997,9.12479556166666,12.672909498214722,900,0,4,1,2,12,5,8582,109.49754673999993
5,0.21999999999999997,8.973714399999995,2.9268863201141357,900,0,5,0,2,10,5,8582,89.73714399999996
5,0.21999999999999997,9.106538761999996,2.9541268348693848,900,0,5,0,2,10,5,8582,91.06538761999997
5,0.21999999999999997,9.12894278666666,3.9211294651031494,900,0,4,1,2,12,5,8582,109.54731343999991
5,0.21999999999999997,9.096369279999994,2.955577850341797,900,0,5,0,2,10,5,8582,90.96369279999995
5,0.96,0.18096617619046848,50.01791548728943,22,3,0,2,3,21,5,8582,3.800289699999838
5,0.96,0.18318262380952438,44.32494354248047,22,3,0,2,3,21,5,8582,3.846835100000012
5,0.96,0.17915333999999547,34.876362562179565,22,2,0,3,3,24,5,8582,4.299680159999891
5,0.96,0.1786526466666451,35.078142166137695,22,2,1,2,3,21,5,8582,3.7517055799995473
5,0.96,0.1827829855555539,61.45302200317383,22,4,0,1,3,18,5,8582,3.29009373999997
5,0.96,0.18154798166666072,23.433279991149902,22,2,0,3,3,24,5,8582,4.357151559999857
5,0.96,0.1824023641666649,29.12664246559143,22,2,0,3,3,24,5,8582,4.377656739999957
5,0.96,0.18205877249999677,33.1090829372406,22,2,0,3,3,24,5,8582,4.369410539999922
5,0.96,0.18170145333332932,46.09189033508301,22,4,0,1,3,18,5,8582,3.2706261599999276
5,0.96,0.18356391523809376,45.36770224571228,22,3,0,2,3,21,5,8582,3.854842219999969
5,0.96,0.4913778074073932,41.568212032318115,60,1,0,4,3,27,5,8582,13.267200799999616
5,0.96,0.49536686888889137,51.09440231323242,60,4,0,1,3,18,5,8582,8.916603640000044
5,0.96,0.48887655619047604,29.48823380470276,60,2,1,2,3,21,5,8582,10.266407679999997
5,0.96,0.4971402411111064,37.295830726623535,60,4,0,1,3,18,5,8582,8.948524339999915
5,0.96,0.4851844723809516,28.858125925064087,60,2,1,2,3,21,5,8582,10.188873919999983
5,0.96,0.4936529637036952,33.660470962524414,60,1,0,4,3,27,5,8582,13.328630019999771
5,0.96,0.494698394166665,36.847216844558716,60,2,0,3,3,24,5,8582,11.87276145999996
5,0.96,0.4943121349999977,15.860992193222046,60,2,0,3,3,24,5,8582,11.863491239999945
5,0.96,0.4881365770370345,12.332312822341919,60,0,1,4,3,27,5,8582,13.179687579999932
5,0.96,0.49295360599999266,18.010107278823853,60,0,0,5,3,30,5,8582,14.78860817999978
5,0.64,1.6011826425000055,22.31178307533264,200,1,1,3,3,24,5,8582,38.42838342000013
5,0.64,1.5940884977777825,19.371078968048096,200,1,3,1,3,18,5,8582,28.693592960000085
5,0.64,1.6745246919999994,42.56985855102539,200,4,1,0,3,15,5,8582,25.117870379999992
5,0.64,1.6222269985185136,24.810567140579224,200,1,0,4,3,27,5,8582,43.80012895999987
5,0.64,1.6230751228571405,22.811443328857422,200,2,1,2,3,21,5,8582,34.08457757999995
5,0.64,1.6024910124999963,11.26486349105835,200,1,1,3,3,24,5,8582,38.45978429999991
5,0.64,1.5921242241666647,23.70998978614807,200,0,2,3,3,24,5,8582,38.21098137999995
5,0.64,1.609726511428573,5.904303789138794,200,0,3,2,3,21,5,8582,33.804256740000035
5,0.64,1.6255675496296287,11.601963520050049,200,0,1,4,3,27,5,8582,43.89032383999997
5,0.64,1.6270753774999953,21.50985860824585,200,2,0,3,3,24,5,8582,39.04980905999989
5,0.52,3.1496157111111023,22.059035062789917,400,1,3,1,3,18,5,8582,56.69308279999984
5,0.52,3.2135491952380884,20.206400394439697,400,2,1,2,3,21,5,8582,67.48453309999985
5,0.52,3.2381265575000007,11.933597087860107,400,1,1,3,3,24,5,8582,77.71503738000001
5,0.52,3.187551598333329,16.563215494155884,400,0,2,3,3,24,5,8582,76.5012383599999
5,0.52,3.207964138518515,8.519392490386963,400,0,1,4,3,27,5,8582,86.6150317399999
5,0.52,3.2340405076190435,24.024250268936157,400,1,2,2,3,21,5,8582,67.91485065999991
5,0.52,3.0690183519999956,2.739699602127075,400,0,5,0,3,15,5,8582,46.03527527999994
5,0.52,3.1858866333333347,13.505135297775269,400,0,2,3,3,24,5,8582,76.46127920000004
5,0.52,3.180788365,9.853853464126587,400,0,2,3,3,24,5,8582,76.33892076000001
5,0.52,3.0758347359999965,2.643981695175171,400,0,5,0,3,15,5,8582,46.137521039999946
